movie_title,production_date,genres,runtime_minutes,director_name,director_professions,director_birthYear,director_deathYear,movie_averageRating,movie_numerOfVotes,approval_Index,Production budget $,Domestic gross $,Worldwide gross $
Stranger Than Fiction,10/11/2006,"Comedy,Drama,Fantasy",113,Marc Forster,"producer,director,writer",1969,alive,7.6,230878,6.773731093,30000000,40435190,53572822
Hanna,8/4/2011,"Action,Adventure,Drama",111,Joe Wright,"director,producer,miscellaneous",1972,alive,6.8,201024,5.977554463,30000000,40259119,65343694
Blue Crush,16-08-2002,"Drama,Romance,Sport",104,John Stockwell,"actor,director,writer",1961,alive,5.7,31865,4.216812683,30000000,40118420,51618420
30 Days of Night,19-10-2007,"Action,Adventure,Horror",113,David Slade,"producer,director,writer",1969,alive,6.6,179979,5.744167548,30000000,39568996,80276156
Little Shop of Horrors,19-12-1986,"Comedy,Horror,Musical",94,Frank Oz,"actor,miscellaneous,soundtrack",1944,alive,7.1,79126,5.760024987,30000000,38747385,38747385
The Menu,16-11-2022,"Horror,Thriller",107,Mark Mylod,"director,producer,miscellaneous",\N,alive,7.2,206935,6.352282068,30000000,38501125,73098159
Gridiron Gang,15-09-2006,"Biography,Crime,Drama",125,Phil Joanou,"director,assistant_director,camera_department",1961,alive,7.1,78047,5.752852504,30000000,38432823,41457834
Midnight Run,20-07-1988,"Action,Comedy,Crime",126,Martin Brest,"director,actor,producer",1951,alive,7.5,88059,6.150985408,30000000,38413606,81613606
Meet the Spartans,25-01-2008,"Comedy,Fantasy",87,-,-,-,-,2.8,108968,2.257645038,30000000,38233676,84646831
The Running Man,13-11-1987,"Action,Sci-Fi,Thriller",101,Paul Michael Glaser,"actor,producer,director",1943,alive,6.6,156503,5.676298274,30000000,38122000,38122000
The Family,13-09-2013,"Comedy,Crime,Thriller",111,Luc Besson,"writer,producer,director",1959,alive,6.3,118306,5.282598407,30000000,36918811,80588942
The Family,13-09-2013,"Comedy,Crime,Drama",152,Matt Tory,"writer,director,producer",\N,alive,7,23,1.483031168,30000000,36918811,80588942
The 15:17 to Paris,9/2/2018,"Biography,Drama,Thriller",94,Clint Eastwood,"actor,producer,director",1930,alive,5.3,34343,3.940848055,30000000,36276286,56096200
Mortal Kombat: Annihilation,21-11-1997,"Action,Adventure,Fantasy",95,John R. Leonetti,"cinematographer,camera_department,director",1956,alive,3.6,55623,2.762237823,30000000,35927406,51327406
Larry Crowne,1/7/2011,"Comedy,Drama,Romance",98,Tom Hanks,"producer,actor,soundtrack",1956,alive,6.1,68480,4.86533374,30000000,35608245,61449135
Carrie,18-10-2013,"Drama,Horror",100,Kimberly Peirce,"director,producer,writer",1967,alive,5.8,142437,4.932094877,30000000,35266619,82409520
Last Christmas,7/11/2019,"Comedy,Drama,Fantasy",103,Paul Feig,"producer,actor,director",1962,alive,6.5,82799,5.283821643,30000000,35150750,123428868
Take the Lead,7/4/2006,"Drama,Music",118,Liz Friedlander,"director,producer,writer",1970,alive,6.6,26060,4.805783782,30000000,34742066,65390493
Death Wish,2/3/2018,"Action,Crime,Drama",107,Eli Roth,"producer,actor,writer",1972,alive,6.3,73250,5.060387169,30000000,34017028,48575965
Entourage,3/6/2015,"Comedy,Drama",104,Doug Ellin,"writer,producer,director",1968,alive,6.5,80913,5.272802328,30000000,32363404,46438538
What's the Worst That Could Happen?,1/6/2001,"Comedy,Crime",94,Sam Weisman,"director,actor,producer",1947,alive,5.4,16115,3.717070705,30000000,32267774,38462071
Side Effects,8/2/2013,"Crime,Drama,Mystery",106,Steven Soderbergh,"producer,director,cinematographer",1963,alive,7.1,191479,6.221674144,30000000,32172757,66742138
9,9/9/2009,"Action,Adventure,Animation",79,Shane Acker,"director,visual_effects,writer",\N,alive,7,141955,5.978057462,30000000,31749894,48559999
Deliver Us from Evil,2/7/2014,"Action,Adventure,Crime",118,Scott Derrickson,"producer,director,writer",1966,alive,6.2,79549,5.015602394,30000000,30577122,87956618
Get on Up,1/8/2014,"Biography,Drama,Music",139,Tate Taylor,"actor,producer,director",1969,alive,6.9,25164,5.012458848,30000000,30569935,33339868
The Five-Year Engagement,27-04-2012,"Comedy,Drama,Romance",124,Nicholas Stoller,"producer,writer,director",1976,alive,6.2,99754,5.118848166,30000000,28700285,61623819
Winnie the Pooh,15-04-2011,"Adventure,Animation,Comedy",63,-,-,-,-,7.1,26086,5.180366268,30000000,26692846,50145607
Bulworth,15-05-1998,"Comedy,Drama,Romance",108,Warren Beatty,"actor,soundtrack,producer",1937,alive,6.8,26563,4.964973196,30000000,26528684,29203383
Dumb and Dumberer: When Harry Met Lloyd,13-06-2003,Comedy,85,Troy Miller,"producer,director,writer",\N,alive,3.4,40510,2.52214511,30000000,26214846,28986358
White Boy Rick,14-09-2018,"Crime,Drama",111,Yann Demange,"director,producer,writer",1977,alive,6.5,38793,4.921232889,30000000,24004833,25947983
Virtuosity,4/8/1995,"Action,Crime,Sci-Fi",106,Brett Leonard,"director,producer,writer",1959,alive,5.5,30792,4.050367719,30000000,23998226,23998226
One True Thing,18-09-1998,Drama,127,Carl Franklin,"actor,director,writer",1949,alive,6.9,12300,4.649062285,30000000,23337196,26708196
Sanctum,4/2/2011,"Action,Adventure,Drama",108,Alister Grierson,"director,writer,editor",\N,alive,5.9,56113,4.615032195,30000000,23209310,108957098
My Super Ex-Girlfriend,21-07-2006,"Comedy,Romance,Sci-Fi",96,Ivan Reitman,"producer,miscellaneous,director",1946,2022,5.2,65228,4.109433312,30000000,22530295,60772856
Mr. 3000,17-09-2004,"Comedy,Drama,Romance",104,Charles Stone III,"director,actor,assistant_director",1966,alive,5.6,14715,3.822176823,30000000,21800302,21827296
Shaft,14-06-2019,"Action,Comedy,Crime",111,Tim Story,"director,producer,actor",1970,alive,6.4,54888,5.006914917,30000000,21360215,21360215
The Next Three Days,19-11-2010,"Action,Crime,Drama",133,Paul Haggis,"writer,producer,miscellaneous",1953,alive,7.3,199143,6.421724489,30000000,21148651,67255916
Proud Mary,10/1/2018,"Action,Crime,Drama",89,Babak Najafi,"director,writer,editor",1975,alive,5,10151,3.261942968,30000000,20868638,21709539
Sleepless,11/1/2017,"Action,Thriller",95,Baran bo Odar,"director,writer,producer",1978,alive,5.6,33046,4.155515102,30000000,20783704,33296659
Little Black Book,6/8/2004,"Comedy,Drama,Romance",107,Nick Hurran,"director,miscellaneous,producer",1959,alive,5.3,18475,3.699088183,30000000,20422207,21758371
The Unbearable Weight of Massive Talent,1/4/2022,"Action,Comedy,Crime",107,Tom Gormican,"writer,producer,director",\N,alive,7,95839,5.775734564,30000000,20300157,29116320
Nine Lives,5/8/2016,"Comedy,Drama,Family",87,Barry Sonnenfeld,"producer,director,actor",1953,alive,5.3,23280,3.789234867,30000000,19700032,57814445
Runner Runner,26-09-2013,"Crime,Thriller",88,Brad Furman,"director,producer,writer",\N,alive,5.6,64357,4.43014541,30000000,19316646,60512680
The Replacement Killers,6/2/1998,"Action,Crime,Thriller",87,Antoine Fuqua,"director,producer,actor",1965,alive,6.1,29500,4.487369345,30000000,19035741,19035741
Baahubali 2: The Conclusion,28-04-2017,"Action,Drama",167,S.S. Rajamouli,"writer,producer,director",1973,alive,8.2,103973,6.837606766,30000000,18985794,263502914
Ultraviolet,3/3/2006,"Action,Sci-Fi",88,Kurt Wimmer,"writer,director,producer",1964,alive,4.3,82653,3.450273881,30000000,18522064,30962112
North Country,21-10-2005,Drama,126,Niki Caro,"director,writer,producer",1966,alive,7.3,43423,5.603705704,30000000,18324242,23676771
Fright Night,19-08-2011,"Comedy,Horror",106,Craig Gillespie,"producer,director,writer",1967,alive,6.4,108713,5.328722569,30000000,18298649,40520649
Steve Jobs,9/10/2015,"Biography,Drama",122,Danny Boyle,"director,producer,actor",1956,alive,7.2,171420,6.252538225,30000000,17766658,35579007
Spirit Untamed,7/3/2021,"Adventure,Animation,Comedy",88,-,-,-,-,5.5,3930,3.217322126,30000000,17716215,42235744
Eight Legged Freaks,17-07-2002,"Action,Adventure,Comedy",99,Ellory Elkayem,"director,writer",1970,alive,5.5,58221,4.308134511,30000000,17266505,36722311
Fled,19-07-1996,"Action,Adventure,Crime",98,Kevin Hooks,"director,producer,actor",1958,alive,5.4,9259,3.496902074,30000000,17192205,19892205
The Whole Ten Yards,9/4/2004,"Comedy,Crime,Thriller",98,Howard Deutch,"director,producer,actor",1950,alive,5.4,56965,4.21874304,30000000,16323969,26323969
Howard the Duck,1/8/1986,"Action,Adventure,Comedy",110,Willard Huyck,"writer,director,actor",1945,alive,4.7,48160,3.596716847,30000000,16295774,16295774
Pride and Glory,24-10-2008,"Crime,Drama,Thriller",130,Gavin O'Connor,"producer,director,writer",1963,alive,6.6,61781,5.224947174,30000000,15740721,32262866
The Little Things,28-01-2021,"Crime,Drama,Mystery",128,John Lee Hancock,"writer,director,producer",1956,alive,6.3,107297,5.237324344,30000000,15342746,29735222
The Cave,26-08-2005,"Adventure,Horror,Sci-Fi",97,Bruce Hunt,"assistant_director,visual_effects,director",\N,alive,5.1,39740,3.84193115,30000000,15007991,27147991
Godsend,30-04-2004,"Action,Drama,Fantasy",102,-,-,-,-,4.8,25937,3.457491327,30000000,14334645,16873925
Alex & Emma,20-06-2003,"Comedy,Romance",96,Rob Reiner,"actor,writer,producer",1947,alive,5.5,13625,3.72042629,30000000,14208384,15358583
Honest Thief,8/10/2020,"Action,Thriller",99,Mark Williams,"producer,writer,director",\N,alive,6,52003,4.661908041,30000000,14163574,32609631
Wicker Park,3/9/2004,"Drama,Mystery,Romance",114,Paul McGuigan,"director,producer",1963,alive,6.9,57002,5.427564874,30000000,13001257,21577076
The New World,25-12-2005,"Biography,Drama,History",135,Terrence Malick,"producer,writer,director",1943,alive,6.7,87359,5.476884302,30000000,12712093,26184400
Evening,29-06-2007,"Drama,Romance",117,Lajos Koltai,"cinematographer,director,camera_department",1946,alive,6.4,13751,4.355129871,30000000,12406646,12885574
The Last Stand,17-01-2013,"Action,Thriller,Western",107,Jee-woon Kim,"director,writer,producer",1964,alive,6.3,140397,5.361953395,30000000,12050299,48330757
In Dreams,15-01-1999,"Drama,Fantasy,Thriller",100,Neil Jordan,"writer,producer,director",1950,alive,5.5,13234,3.70864369,30000000,12017369,12017369
Wing Commander,12/3/1999,"Action,Adventure,Sci-Fi",100,Chris Roberts,"producer,director,writer",1968,alive,4.3,17008,2.950098642,30000000,11578022,11578022
Antitrust,12/1/2001,"Action,Crime,Drama",108,Peter Howitt,"actor,director,writer",1957,alive,6.1,29651,4.489660774,30000000,10965209,17865209
Dead Man Down,7/3/2013,"Action,Crime,Drama",118,Niels Arden Oplev,"director,producer,writer",1961,alive,6.4,68662,5.112345641,30000000,10895295,19599974
Dragonball Evolution,10/4/2009,"Action,Adventure,Fantasy",85,James Wong,"producer,writer,miscellaneous",\N,alive,2.5,75858,1.935009364,30000000,9362785,56511457
First Daughter,24-09-2004,"Comedy,Drama,Romance",106,Forest Whitaker,"actor,producer,director",1961,alive,5,24112,3.580205817,30000000,9055010,10419084
An Unfinished Life,9/9/2005,"Drama,Family,Romance",108,Lasse Hallström,"director,writer,cinematographer",1946,alive,7,31783,5.207281074,30000000,8535575,18535575
The Space Between Us,4/1/2017,"Drama,Romance,Sci-Fi",120,Peter Chelsom,"actor,director,writer",1956,alive,6.4,53947,4.998772138,30000000,7885294,16481405
Anna,19-06-2019,Drama,106,Heitor Dhalia,"director,producer,writer",1970,alive,5.2,21,1.032976503,30000000,7743794,32825217
Anna,19-06-2019,"Action,Thriller",118,Luc Besson,"writer,producer,director",1959,alive,6.6,84969,5.379701945,30000000,7743794,32825217
The Imaginarium of Doctor Parnassus,25-12-2009,"Adventure,Comedy,Fantasy",123,Terry Gilliam,"writer,actor,animation_department",1940,alive,6.8,150767,5.833620737,30000000,7689607,64352607
Trapped,20-09-2002,"Action,Crime,Drama",106,Luis Mandoki,"director,producer,writer",1954,alive,6.1,24520,4.404384211,30000000,6916869,7005468
Kin,29-08-2018,"Action,Drama,Sci-Fi",102,-,-,-,-,5.8,17573,4.039135275,30000000,5718096,10383524
Once Upon a Time in America,1/6/1984,"Crime,Drama",229,Sergio Leone,"assistant_director,writer,director",1929,1989,8.3,355467,7.673301294,30000000,5321508,5576072
Johnny English Strikes Again,13-09-2018,"Action,Adventure,Comedy",89,David Kerr,"director,producer,actor",1967,alive,6.2,76105,4.995412861,30000000,4412170,159369278
Stronger,22-09-2017,"Biography,Drama",119,David Gordon Green,"producer,director,writer",1975,alive,6.9,46243,5.321372747,30000000,4211129,8786287
Stronger,22-09-2017,Drama,125,-,-,-,-,7.3,51,1.979947635,30000000,4211129,8786287
Gloria,22-01-1999,"Crime,Drama,Thriller",108,Sidney Lumet,"director,producer,writer",1924,2011,5.1,5953,3.129565212,30000000,4167493,4967493
Replicas,25-10-2018,"Drama,Sci-Fi,Thriller",107,Jeffrey Nachmanoff,"producer,writer,director",1967,alive,5.4,39480,4.073073818,30000000,4046429,9037427
The Merchant of Venice,29-12-2004,"Drama,Romance",131,Michael Radford,"director,writer,actor",1946,alive,7,37074,5.286586974,30000000,3765585,18765585
The Good Thief,2/4/2003,\N,118,R.T. Herwig,"director,writer,producer",\N,alive,5.3,53,1.416378577,30000000,3517797,6460758
Supercross,17-08-2005,"Action,Drama,Romance",80,Steve Boyum,"stunts,producer,director",1952,alive,4.3,4756,2.546951958,30000000,3102550,3252550
Miss Potter,29-12-2006,"Biography,Drama,Romance",88,Chris Noonan,"writer,director,producer",1952,alive,7,30557,5.187021116,30000000,3005605,35891257
Love and Monsters,16-10-2020,Comedy,109,Ekaterina Krasner,"director,writer,producer",1993,alive,4.8,96,1.480118463,30000000,1070714,1131683
Love and Monsters,16-10-2020,"Action,Adventure,Comedy",109,Michael Matthews,"director,producer,writer",\N,alive,6.9,130657,5.848670146,30000000,1070714,1131683
The Tax Collector,7/8/2020,"Action,Crime,Drama",95,David Ayer,"writer,producer,director",1968,alive,4.8,14063,3.241313582,30000000,1044212,1309971
Machine Gun Preacher,23-09-2011,"Action,Biography,Crime",129,Marc Forster,"producer,director,writer",1969,alive,6.7,67011,5.346168269,30000000,538690,3721988
Wild Card,16-01-2015,"Action,Crime,Drama",92,Simon West,"producer,director,actor",1961,alive,5.6,56888,4.379318025,30000000,3200,4315789
United Passions,3/7/2014,"Drama,History,Sport",110,Frédéric Auburtin,"assistant_director,director,writer",1962,alive,2.1,4326,1.161771212,30000000,918,168832
Collide,26-08-2016,"Action,Crime,Thriller",99,Eran Creevy,"director,writer,assistant_director",1976,alive,5.6,16619,3.872311169,29200000,2280004,5466698
Pitch Perfect 2,7/5/2015,"Comedy,Music",115,Elizabeth Banks,"actress,producer,director",1974,alive,6.4,160098,5.510988567,29000000,184296230,287215196
Walk the Line,18-11-2005,"Biography,Drama,Music",136,James Mangold,"producer,director,writer",1963,alive,7.8,254062,7.010370852,29000000,119519402,187707495
Night School,26-09-2018,Comedy,111,Malcolm D. Lee,"writer,director,producer",1970,alive,5.6,41792,4.25225934,29000000,77339130,104145633
The Boss,7/4/2016,Comedy,99,Ben Falcone,"actor,producer,soundtrack",1973,alive,5.4,47036,4.142649585,29000000,63077560,78652207
12 Monkeys,27-12-1995,"Mystery,Sci-Fi,Thriller",129,Terry Gilliam,"writer,actor,animation_department",1940,alive,8,622758,7.72123167,29000000,57141459,168841459
Once Upon a Time in Mexico,12/9/2003,"Action,Crime,Thriller",102,Robert Rodriguez,"producer,writer,director",1968,alive,6.3,164231,5.43463375,29000000,56330657,97413527
Awakenings,19-12-1990,"Biography,Drama",121,Penny Marshall,"actress,director,producer",1943,2018,7.8,144997,6.688498255,29000000,51636504,51636504
Keeping the Faith,14-04-2000,"Comedy,Drama,Romance",128,Edward Norton,"actor,producer,writer",1969,alive,6.4,52304,4.984208161,29000000,37036404,45336404
Logan Lucky,18-08-2017,"Action,Comedy,Crime",118,Steven Soderbergh,"producer,director,cinematographer",1963,alive,7,152768,6.015865664,29000000,27778642,49046121
Florence Foster Jenkins,29-04-2016,"Biography,Comedy,Drama",111,Stephen Frears,"director,producer,actor",1941,alive,6.8,57123,5.34805485,29000000,27383770,56000339
Like a Boss,10/1/2020,Comedy,83,Miguel Arteta,"director,producer,miscellaneous",1965,alive,4.7,14526,3.182241345,29000000,22169514,26563888
Frost/Nixon,5/12/2008,"Biography,Drama,History",122,Ron Howard,"producer,actor,writer",1954,alive,7.7,109255,6.44071455,29000000,18622031,28452945
Seed of Chucky,12/11/2004,"Comedy,Horror,Thriller",87,Don Mancini,"writer,producer,director",1963,alive,4.9,46763,3.744765976,29000000,17016190,24716190
Serving Sara,23-08-2002,"Comedy,Romance",102,Reginald Hudlin,"producer,director,writer",1961,alive,5.3,17994,3.688801316,29000000,16930185,20146150
Confessions of a Dangerous Mind,31-12-2002,"Biography,Comedy,Crime",113,George Clooney,"actor,producer,director",1961,alive,7,89365,5.739713362,29000000,16007718,33013805
Blacklight,10/2/2022,"Action,Drama,Thriller",104,Mark Williams,"producer,writer,director",\N,alive,4.8,19617,3.358862797,29000000,9591094,16017096
Taking Woodstock,26-08-2009,"Biography,Comedy,Drama",120,Ang Lee,"director,producer,writer",1954,alive,6.7,29466,4.941148234,29000000,7460204,10066366
Cry Freedom,6/11/1987,"Biography,Drama,History",157,Richard Attenborough,"actor,producer,director",1923,2014,7.4,13761,5.056612971,29000000,5899797,25899797
Voyagers,8/4/2021,"Adventure,Sci-Fi,Thriller",108,Neil Burger,"producer,director,writer",1963,alive,5.4,22661,3.85251012,29000000,3149935,4131781
Mumford,24-09-1999,"Comedy,Drama",112,Lawrence Kasdan,"writer,producer,director",1949,alive,6.8,9310,4.440432399,28700000,4559569,4559569
The Jacket,4/3/2005,"Drama,Fantasy,Mystery",103,John Maybury,"director,writer,editor",1958,alive,7.1,115067,5.955643413,28500000,6301131,15452978
Aladdin,11/11/1992,"Adventure,Animation,Comedy",90,-,-,-,-,8,426233,7.49805082,28000000,217350219,504050219
Indiana Jones and the Temple of Doom,23-05-1984,"Action,Adventure",118,Steven Spielberg,"producer,writer,director",1946,alive,7.5,494280,7.102915715,28000000,179880271,333080271
Straight Outta Compton,14-08-2015,"Biography,Drama,History",147,F. Gary Gray,"director,actor,producer",1969,alive,7.8,205383,6.888304316,28000000,161197785,202182981
Girls Trip,20-07-2017,"Adventure,Comedy,Drama",122,Malcolm D. Lee,"writer,director,producer",1970,alive,6.2,38433,4.683761661,28000000,115108515,140886353
The Rugrats Movie,20-11-1998,"Adventure,Animation,Comedy",79,-,-,-,-,5.9,19803,4.162909467,28000000,100494685,140894685
Die Hard,15-07-1988,"Action,Thriller",132,John McTiernan,"director,producer,writer",1951,alive,8.2,891053,8.1336936,28000000,81675242,139434346
Out of Africa,18-12-1985,"Biography,Drama,Romance",161,Sydney Pollack,"director,producer,actor",1934,2008,7.1,81369,5.774627084,28000000,79096868,258210860
Along Came a Spider,6/4/2001,"Drama,Thriller",104,Lee Tamahori,"director,assistant_director,sound_department",1950,alive,6.4,89495,5.237122809,28000000,74058698,105159085
A Bad Moms Christmas,1/11/2017,Comedy,104,-,-,-,-,5.6,54089,4.358530112,28000000,72110659,127710550
Safe Haven,13-02-2013,"Drama,Romance,Thriller",115,Lasse Hallström,"director,writer,cinematographer",1946,alive,6.6,112205,5.514717478,28000000,71399120,94050951
The Big Short,11/12/2015,"Biography,Comedy,Drama",130,Adam McKay,"producer,writer,director",1968,alive,7.8,437612,7.322423725,28000000,70259870,133162752
Scary Stories to Tell in the Dark,8/8/2019,"Adventure,Horror,Mystery",108,André Øvredal,"director,writer,producer",\N,alive,6.2,78627,5.010284401,28000000,68947075,95592669
Role Models,7/11/2008,Comedy,99,David Wain,"writer,actor,producer",1969,alive,6.8,233659,6.052820441,28000000,67300955,94500826
Miracle,6/2/2004,"Biography,Drama,History",135,Gavin O'Connor,"producer,director,writer",1963,alive,7.4,55720,5.818034647,28000000,64378093,64474705
Last Vegas,28-01-2013,"Comedy,Drama",105,Jon Turteltaub,"producer,director,writer",1963,alive,6.6,133696,5.599813749,28000000,63914167,112914167
The Wedding Planner,26-01-2001,"Comedy,Romance",103,Adam Shankman,"producer,miscellaneous,director",1964,alive,5.3,82497,4.282584348,28000000,60400856,94728529
Dawn of the Dead,19-03-2004,"Action,Horror",101,Zack Snyder,"director,producer,writer",1966,alive,7.3,258939,6.562750019,28000000,58990765,103452875
For Your Eyes Only,26-06-1981,"Action,Adventure,Thriller",127,John Glen,"editor,assistant_director,director",1932,alive,6.7,103276,5.559394283,28000000,54800000,195300000
Tag,15-06-2018,"Action,Comedy",100,Jeff Tomsic,"producer,director,editor",\N,alive,6.5,136541,5.523040638,28000000,54730625,77024944
The Royal Tenenbaums,14-12-2001,"Comedy,Drama",110,Wes Anderson,"writer,director,producer",1969,alive,7.6,296734,6.914053135,28000000,52353636,71430876
Identity,25-04-2003,"Mystery,Thriller",90,James Mangold,"producer,director,writer",1963,alive,7.3,252710,6.549671717,28000000,52131264,82119036
Serendipity,5/10/2001,"Comedy,Romance",90,Peter Chelsom,"actor,director,writer",1956,alive,6.8,115582,5.700660495,28000000,50255310,77477297
Kick-Ass,16-04-2010,"Action,Comedy,Crime",117,Matthew Vaughn,"producer,director,writer",1971,alive,7.6,568325,7.277434335,28000000,48071303,97531134
Zoolander,28-09-2001,Comedy,90,Ben Stiller,"producer,actor,director",1965,alive,6.5,276689,5.860805499,28000000,45172250,60780981
Timecop,16-09-1994,"Action,Crime,Sci-Fi",99,Peter Hyams,"director,cinematographer,writer",1943,alive,5.9,60856,4.650255767,28000000,44853581,102053581
Hocus Pocus,16-07-1993,"Comedy,Family,Fantasy",96,Kenny Ortega,"director,miscellaneous,producer",1950,alive,6.9,144501,5.899797844,28000000,44101060,45147989
No Reservations,27-07-2007,"Comedy,Drama,Romance",104,Scott Hicks,"director,writer,assistant_director",1953,alive,6.3,76029,5.077647193,28000000,43107979,91943956
Pride & Prejudice,11/11/2005,"Drama,Romance",129,Joe Wright,"director,producer,miscellaneous",1972,alive,7.8,301349,7.108327831,28000000,38372662,126549607
80 for Brady,3/2/2023,"Comedy,Drama,Sport",98,Kyle Marvin,"director,producer,actor",\N,alive,5.2,359,2.119074414,28000000,37688000,37688000
30 Minutes or Less,12/8/2011,"Action,Comedy,Crime",83,Ruben Fleischer,"producer,director,writer",1974,alive,6.1,102873,5.047977759,28000000,37053924,41146935
Dracula 2000,22-12-2000,"Action,Fantasy,Horror",99,Patrick Lussier,"editor,editorial_department,director",\N,alive,4.9,34733,3.637547191,28000000,33000377,33000377
Blade Runner,25-06-1982,"Action,Drama,Sci-Fi",117,Ridley Scott,"producer,director,production_designer",1937,alive,8.1,776451,7.950848746,28000000,32656328,39538663
Rob Roy,7/4/1995,"Adventure,Biography,Drama",139,Michael Caton-Jones,"director,producer,actor",1957,alive,6.9,43717,5.292855473,28000000,31390587,31390587
3 Days to Kill,21-02-2014,"Action,Drama,Thriller",117,McG,"producer,director,miscellaneous",1968,alive,6.2,94735,5.09529924,28000000,30697999,38959900
Kick-Ass 2,16-08-2013,"Action,Comedy,Crime",103,Jeff Wadlow,"producer,writer,director",1976,alive,6.5,276329,5.860182859,28000000,28795985,63129909
We Own the Night,12/10/2007,"Action,Crime,Drama",117,James Gray,"director,writer,producer",1969,alive,6.8,90144,5.576297351,28000000,28563179,55307857
A Walk Among the Tombstones,19-09-2014,"Action,Crime,Drama",114,Scott Frank,"writer,producer,director",1960,alive,6.5,123154,5.473691565,28000000,26017685,62108587
The Spy Next Door,15-01-2010,"Action,Comedy,Family",94,Brian Levant,"producer,writer,director",1952,alive,5.4,44938,4.124520731,28000000,24307106,46752858
Brick Mansions,23-04-2014,"Action,Crime,Thriller",90,Camille Delamarre,"director,editor,assistant_director",1979,alive,5.6,42945,4.2634726,28000000,20396829,73421224
Just My Luck,12/5/2006,"Comedy,Fantasy,Romance",108,Donald Petrie,"director,actor,producer",1954,alive,5.4,58319,4.228076103,28000000,17326650,38159905
Lost Souls,13-10-2000,"Drama,Horror,Thriller",97,Janusz Kaminski,"cinematographer,camera_department,director",1959,alive,4.8,11083,3.157213773,28000000,16779636,31320293
American Ultra,19-08-2015,"Action,Comedy",96,Nima Nourizadeh,"director,editor,writer",1977,alive,6.1,93018,5.002781799,28000000,14439985,30295028
Pride and Prejudice and Zombies,4/2/2016,"Action,Comedy,Fantasy",108,Burr Steers,"director,actor,writer",1965,alive,5.8,57671,4.546263901,28000000,10907291,16638300
"Mystery, Alaska",1/10/1999,"Comedy,Drama,Sport",119,Jay Roach,"producer,director,writer",1957,alive,6.7,27483,4.906804472,28000000,8891623,8891623
A Simple Wish,11/7/1997,"Comedy,Family,Fantasy",89,Michael Ritchie,"director,producer,writer",1938,2001,5.3,5658,3.237643981,28000000,8165213,8165213
Kundun,25-12-1997,"Biography,Drama,History",134,Martin Scorsese,"producer,director,actor",1942,alive,7,28893,5.158182541,28000000,5686694,5686694
How to Lose Friends & Alienate People,3/10/2008,"Biography,Comedy,Drama",110,Robert B. Weide,"producer,director,writer",1959,alive,6.4,69991,5.121372773,28000000,2775593,12031443
Knocked Up,1/6/2007,"Comedy,Romance",129,Judd Apatow,"producer,writer,director",1967,alive,6.9,373024,6.38124817,27500000,148761765,219265952
Octopussy,10/6/1983,"Action,Adventure,Thriller",131,John Glen,"editor,assistant_director,director",1932,alive,6.5,107827,5.410130124,27500000,67900000,187500000
Joyful Noise,13-01-2012,"Comedy,Drama,Music",118,Todd Graff,"actor,writer,producer",1959,alive,5.7,8617,3.668362128,27500000,30932113,31157914
A Passage to India,14-12-1984,"Adventure,Drama,History",164,David Lean,"editor,director,writer",1908,1991,7.3,19401,5.170984665,27500000,27187653,27187896
Notes on a Scandal,25-12-2006,"Crime,Drama,Romance",92,Richard Eyre,"director,producer,miscellaneous",1943,alive,7.4,80314,6.017090273,27500000,17510118,50578411
Rendition,19-10-2007,"Drama,Thriller",122,Gavin Hood,"actor,producer,director",1963,alive,6.8,56494,5.34251521,27500000,9736045,26939925
Anonymous,28-10-2011,"Drama,Thriller",130,Roland Emmerich,"writer,producer,director",1955,alive,6.8,41313,5.185939378,27500000,4463292,15815509
Limitless,18-03-2011,"Sci-Fi,Thriller",105,Neil Burger,"producer,director,writer",1963,alive,7.4,580521,7.094013901,27000000,79249455,155564919
Star Trek VI: The Undiscovered Country,6/12/1991,"Action,Adventure,Sci-Fi",110,Nicholas Meyer,"writer,producer,director",1945,alive,7.2,77187,5.829865728,27000000,74888996,96900000
Annabelle Comes Home,26-06-2019,"Horror,Mystery,Thriller",106,Gary Dauberman,"writer,producer,director",\N,alive,5.9,77894,4.757406655,27000000,74152591,230779191
Kiss the Girls,3/10/1997,"Crime,Drama,Mystery",115,Gary Fleder,"producer,director,miscellaneous",1965,alive,6.6,75844,5.324534451,27000000,60527873,60527873
The Blues Brothers,20-06-1980,"Action,Adventure,Comedy",133,John Landis,"producer,director,actor",1950,alive,7.9,203177,6.972029173,27000000,57229890,57245093
The Jungle Book,25-12-1994,"Adventure,Family,Romance",111,Stephen Sommers,"producer,writer,director",1962,alive,6,18165,4.197588222,27000000,44342956,44342956
The Sisterhood of the Traveling Pants 2,6/8/2008,"Comedy,Drama,Romance",119,Sanaa Hamri,"producer,director,editor",\N,alive,6.2,29738,4.566759391,27000000,44089964,44270131
Money Monster,12/5/2016,"Crime,Drama,Mystery",98,Jodie Foster,"actress,director,producer",1962,alive,6.5,101493,5.381178419,27000000,41012075,93466095
About a Boy,17-05-2002,"Comedy,Drama,Romance",101,-,-,-,-,7.1,186145,6.206915669,27000000,40803000,130759651
Lake Placid,16-07-1999,"Action,Comedy,Horror",82,Steve Miner,"director,producer,actor",1951,alive,5.8,62519,4.580708315,27000000,31770413,31770413
